blank1,blank2,sucrose1 ,sucrose2
0.001206273,0.003984064,0.006119951,0
0,0.002656042,0.00244798,0.001390821
0,0.002656042,0,0.004172462
0.002412545,0.003984064,0,0.011126565
0.007237636,0.007968127,0.003671971,0.018080668
0.014475271,0.013280212,0.004895961,0.026425591
0.02291918,0.02124834,0.012239902,0.037552156
0.032569361,0.03187251,0.020807834,0.051460362
0.043425814,0.04249668,0.029375765,0.065368567
0.057901086,0.054448871,0.040391677,0.082058414
0.072376357,0.070385126,0.055079559,0.098748261
0.090470446,0.08499336,0.070991432,0.116828929
0.110977081,0.104913679,0.086903305,0.140472879
0.130277443,0.123505976,0.105263158,0.162726008
0.150784077,0.144754316,0.124847001,0.184979138
0.173703257,0.168658699,0.145654835,0.210013908
0.197828709,0.192563081,0.167686659,0.23783032
0.224366707,0.217795485,0.192166463,0.26286509
0.250904704,0.247011952,0.217870257,0.292072323
0.279855247,0.270916335,0.244798042,0.319888734
0.306393245,0.300132802,0.271725826,0.349095967
0.33655006,0.328021248,0.301101591,0.38108484
0.365500603,0.357237716,0.331701346,0.410292072
0.394451146,0.385126162,0.358629131,0.443671766
0.425814234,0.420982736,0.389228886,0.470097357
0.455971049,0.451527224,0.417380661,0.503477051
0.486127865,0.478087649,0.450428397,0.535465925
0.518697226,0.508632138,0.479804162,0.564673157
0.547647768,0.539176627,0.511627907,0.598052851
0.580217129,0.569721116,0.542227662,0.624478442
0.609167672,0.600265604,0.571603427,0.653685675
0.64053076,0.630810093,0.603427173,0.684283727
0.670687575,0.66002656,0.631578947,0.71349096
0.698431846,0.689243028,0.663402693,0.73852573
0.726176116,0.717131474,0.691554468,0.763560501
0.751507841,0.743691899,0.717258262,0.791376912
0.779252111,0.768924303,0.746634027,0.813630042
0.804583836,0.796812749,0.773561812,0.838664812
0.827503016,0.81938911,0.798041616,0.859527121
0.849215923,0.841965471,0.82252142,0.877607789
0.869722557,0.864541833,0.843329253,0.898470097
0.890229192,0.887118194,0.866585067,0.913769124
0.910735826,0.90438247,0.886168911,0.930458971
0.92641737,0.920318725,0.904528764,0.945757997
0.939686369,0.933598938,0.921664627,0.954102921
0.954161641,0.948207171,0.936352509,0.969401947
0.966224367,0.962815405,0.951040392,0.97635605
0.975874548,0.973439575,0.963280294,0.986091794
0.984318456,0.981407703,0.974296206,0.991655076
0.993968637,0.988047809,0.982864137,0.991655076
0.993968637,0.993359894,0.987760098,0.995827538
0.996381182,0.997343958,0.993880049,0.993045897
1,1,0.995104039,0.994436718
0.996381182,0.998671979,1,0.987482615
0.993968637,1,0.996328029,0.984700974
0.989143546,0.994687915,0.995104039,0.974965229
0.981905911,0.988047809,0.990208078,0.966620306
0.973462002,0.980079681,0.984088127,0.956884562
0.962605549,0.972111554,0.975520196,0.942976356
0.951749095,0.961487384,0.964504284,0.930458971
0.936067551,0.948207171,0.955936353,0.915159944
0.920386007,0.932270916,0.94002448,0.898470097
0.902291918,0.916334661,0.924112607,0.877607789
0.884197829,0.897742364,0.905752754,0.85674548
0.863691194,0.879150066,0.888616891,0.83449235
0.841978287,0.859229748,0.867809058,0.810848401
0.82026538,0.84063745,0.845777234,0.787204451
0.794933655,0.812749004,0.82374541,0.76077886
0.76960193,0.788844622,0.799265606,0.734353268
0.74185766,0.759628154,0.774785802,0.706536857
0.712907117,0.729083665,0.747858017,0.677329624
0.685162847,0.703851262,0.718482252,0.646731572
0.655006031,0.673306773,0.691554468,0.617524339
0.623642943,0.642762284,0.662178703,0.588317107
0.592279855,0.614873838,0.631578947,0.554937413
0.56212304,0.584329349,0.599755202,0.52433936
0.531966224,0.553784861,0.569155447,0.493741307
0.503015682,0.523240372,0.539779682,0.460361613
0.470446321,0.491367862,0.507955936,0.432545202
0.440289505,0.459495352,0.477356181,0.401947149
0.406513872,0.428950863,0.445532436,0.371349096
0.376357057,0.397078353,0.414932681,0.340751043
0.347406514,0.369189907,0.385556916,0.31015299
0.318455971,0.335989376,0.35373317,0.282336579
0.289505428,0.30810093,0.324357405,0.254520167
0.260554885,0.278884462,0.29620563,0.228094576
0.236429433,0.250996016,0.268053856,0.203059805
0.209891435,0.225763612,0.241126071,0.176634214
0.183353438,0.199203187,0.216646267,0.154381085
0.160434258,0.173970784,0.190942472,0.134909597
0.137515078,0.151394422,0.166462668,0.114047288
0.117008444,0.130146082,0.144430845,0.0945758
0.097708082,0.110225764,0.122399021,0.076495132
0.080820265,0.091633466,0.102815177,0.059805285
0.066344994,0.07436919,0.085679315,0.0472879
0.05066345,0.058432935,0.069767442,0.034770515
0.038600724,0.045152722,0.055079559,0.025034771
0.02774427,0.033200531,0.041615667,0.016689847
0.016887817,0.025232404,0.030599755,0.009735744
0.010856454,0.015936255,0.020807834,0.004172462
0.00482509,0.007968127,0.012239902,0.004172462
0.002412545,0.003984064,0.007343941,0.001390821
0.002412545,0.002656042,0.003671971,0.005563282
0.001206273,0.001328021,0.00244798,0.008344924
0.002412545,0.003984064,0.00122399,0.011126565
0.006031363,0.006640106,0.00244798,0.018080668
0.014475271,0.013280212,0.007343941,0.030598053
0.021712907,0.019920319,0.012239902,0.043115438
0.032569361,0.029216467,0.020807834,0.051460362
0.044632087,0.041168659,0.031823745,0.066759388
0.056694813,0.054448871,0.042839657,0.082058414
0.072376357,0.070385126,0.055079559,0.100139082
0.090470446,0.086321381,0.069767442,0.11961057
0.108564536,0.103585657,0.086903305,0.140472879
0.127864897,0.123505976,0.104039168,0.162726008
0.148371532,0.144754316,0.123623011,0.186369958
0.172496984,0.166002656,0.143206854,0.210013908
0.195416164,0.19123506,0.165238678,0.235048679
0.220747889,0.215139442,0.188494492,0.26286509
0.246079614,0.241699867,0.215422277,0.289290682
0.271411339,0.266932271,0.239902081,0.318497914
0.301568154,0.292164675,0.266829865,0.347705146
0.329312425,0.324037185,0.29498164,0.376912378
0.35946924,0.353253652,0.321909425,0.406119611
0.388419783,0.38247012,0.35128519,0.438108484
0.418576598,0.413014608,0.379436965,0.468706537
0.449939686,0.443559097,0.4124847,0.49930459
0.480096502,0.474103586,0.440636475,0.531293463
0.51145959,0.505976096,0.47246022,0.561891516
0.544028951,0.536520584,0.504283966,0.592489569
0.572979493,0.565737052,0.533659731,0.623087622
0.604342581,0.596281541,0.565483476,0.650904033
0.633293124,0.626826029,0.596083231,0.682892907
0.662243667,0.653386454,0.624235006,0.709318498
0.692400483,0.685258964,0.654834761,0.735744089
0.720144753,0.714475432,0.682986536,0.763560501
0.74668275,0.741035857,0.711138311,0.788595271
0.773220748,0.76626826,0.739290086,0.812239221
0.799758745,0.794156707,0.76621787,0.837273992
0.823884198,0.818061089,0.791921665,0.860917942
0.845597105,0.839309429,0.815177479,0.877607789
0.867310012,0.860557769,0.839657283,0.898470097
0.886610374,0.881806109,0.859241126,0.916550765
0.907117008,0.903054449,0.88004896,0.934631433
0.922798552,0.918990704,0.898408813,0.947148818
0.940892642,0.93625498,0.916768666,0.959666203
0.954161641,0.949535193,0.931456548,0.970792768
0.971049457,0.964143426,0.946144431,0.980528512
0.975874548,0.973439575,0.959608323,0.987482615
0.985524729,0.981407703,0.969400245,0.994436718
0.991556092,0.98937583,0.979192166,0.997218359
0.99517491,0.993359894,0.982864137,0.997218359
0.998793727,0.998671979,0.988984088,0.997218359
0.998793727,0.997343958,0.993880049,0.995827538
0.997587455,0.994687915,0.993880049,0.991655076
0.992762364,0.996015936,0.993880049,0.986091794
0.989143546,0.994687915,0.992656059,0.977746871
0.981905911,0.986719788,0.984088127,0.969401947
0.973462002,0.981407703,0.977968176,0.956884562
0.962605549,0.970783533,0.969400245,0.945757997
0.950542823,0.958831341,0.959608323,0.930458971
0.937273824,0.94687915,0.948592411,0.915159944
0.920386007,0.929614874,0.936352509,0.897079277
0.903498191,0.918990704,0.919216646,0.877607789
0.882991556,0.895086321,0.902080783,0.855354659
0.861278649,0.877822045,0.88249694,0.83449235
0.839565742,0.853917663,0.861689106,0.812239221
0.819059107,0.832669323,0.839657283,0.78581363
0.794933655,0.806108898,0.818849449,0.759388039
0.770808203,0.783532537,0.795593635,0.734353268
0.744270205,0.758300133,0.772337821,0.706536857
0.715319662,0.731739708,0.746634027,0.677329624
0.687575392,0.701195219,0.717258262,0.648122392
0.657418577,0.671978752,0.689106487,0.617524339
0.628468034,0.63877822,0.660954712,0.585535466
0.599517491,0.614873838,0.632802938,0.557719054
0.568154403,0.583001328,0.602203182,0.52433936
0.536791315,0.552456839,0.572827417,0.496522949
0.505428227,0.520584329,0.542227662,0.458970793
0.475271411,0.488711819,0.510403917,0.429763561
0.445114596,0.459495352,0.479804162,0.400556328
0.412545235,0.430278884,0.450428397,0.371349096
0.38238842,0.398406375,0.417380661,0.342141864
0.352231604,0.367861886,0.386780906,0.312934631
0.323281062,0.337317397,0.358629131,0.283727399
0.296743064,0.309428951,0.328029376,0.255910987
0.266586248,0.282868526,0.301101591,0.230876217
0.238841978,0.25498008,0.271725826,0.204450626
0.213510253,0.227091633,0.246022032,0.180806676
0.189384801,0.20185923,0.217870257,0.157162726
0.166465621,0.177954847,0.193390453,0.136300417
0.142340169,0.154050465,0.170134639,0.114047288
0.121833534,0.132802125,0.146878825,0.09596662
0.102533172,0.112881806,0.126070991,0.079276773
0.084439083,0.094289509,0.106487148,0.062586926
0.067551267,0.075697211,0.086903305,0.0472879
0.053075995,0.059760956,0.070991432,0.037552156
0.038600724,0.046480744,0.05630355,0.026425591
0.028950543,0.035856574,0.042839657,0.016689847
0.018094089,0.025232404,0.030599755,0.011126565
0.012062726,0.015936255,0.022031824,0.004172462
0.006031363,0.009296149,0.012239902,0.002781641
0.002412545,0.005312085,0.007343941,0
0,0.002656042,0.003671971,0.004172462
0,0.001328021,0.00122399,0.006954103
0.003618818,0.003984064,0.00122399,0.011126565
0.007237636,0.007968127,0.00244798,0.019471488
0.014475271,0.013280212,0.008567931,0.029207232
0.02291918,0.02124834,0.012239902,0.038942976
0.033775633,0.030544489,0.020807834,0.051460362
0.044632087,0.041168659,0.030599755,0.063977747
0.057901086,0.055776892,0.044063647,0.082058414
0.072376357,0.069057105,0.055079559,0.100139082
0.094089264,0.08499336,0.069767442,0.11961057
0.112183353,0.103585657,0.086903305,0.140472879
0.12907117,0.123505976,0.106487148,0.162726008
0.150784077,0.144754316,0.126070991,0.186369958
0.17490953,0.164674635,0.148102815,0.212795549
0.197828709,0.192563081,0.168910649,0.23783032
0.225572979,0.216467463,0.193390453,0.260083449
0.250904704,0.243027888,0.219094247,0.294853964
0.278648975,0.270916335,0.244798042,0.321279555
0.306393245,0.298804781,0.276621787,0.350486787
0.334137515,0.328021248,0.301101591,0.379694019
0.366706876,0.357237716,0.330477356,0.410292072
0.395657419,0.386454183,0.359853121,0.443671766
0.424607961,0.416998672,0.389228886,0.472878999
0.455971049,0.447543161,0.419828641,0.503477051
0.486127865,0.478087649,0.450428397,0.535465925
0.517490953,0.509960159,0.481028152,0.563282337
0.550060314,0.539176627,0.511627907,0.59527121
0.580217129,0.571049137,0.543451652,0.624478442
0.611580217,0.600265604,0.575275398,0.656467316
0.639324487,0.629482072,0.605875153,0.684283727
0.669481303,0.658698539,0.632802938,0.712100139
0.698431846,0.689243028,0.664626683,0.739916551
0.726176116,0.715803453,0.695226438,0.766342142
0.752714113,0.743691899,0.718482252,0.792767733
0.779252111,0.768924303,0.746634027,0.813630042
0.804583836,0.796812749,0.778457772,0.840055633
0.828709288,0.820717131,0.799265606,0.860917942
0.849215923,0.841965471,0.8249694,0.878998609
0.87092883,0.864541833,0.844553244,0.899860918
0.890229192,0.881806109,0.867809058,0.913769124
0.908323281,0.901726428,0.886168911,0.931849791
0.92641737,0.918990704,0.904528764,0.944367177
0.942098914,0.938911023,0.922888617,0.962447844
0.954161641,0.949535193,0.935128519,0.969401947
0.965018094,0.961487384,0.953488372,0.97635605
0.975874548,0.970783533,0.963280294,0.984700974
0.984318456,0.981407703,0.974296206,0.991655076
0.991556092,0.985391766,0.982864137,0.993045897
0.998793727,0.992031873,0.988984088,0.995827538
0.997587455,0.994687915,0.993880049,0.994436718
0.997587455,0.998671979,0.996328029,0.995827538
0.997587455,1,0.99877601,0.987482615
0.99517491,0.997343958,0.99755202,0.986091794
0.989143546,0.992031873,0.993880049,0.974965229
0.980699638,0.986719788,0.990208078,0.968011127
0.973462002,0.980079681,0.981640147,0.956884562
0.963811821,0.973439575,0.976744186,0.942976356
0.950542823,0.962815405,0.963280294,0.92906815
0.937273824,0.949535193,0.952264382,0.913769124
0.920386007,0.932270916,0.94002448,0.895688456
0.903498191,0.916334661,0.924112607,0.878998609
0.885404101,0.899070385,0.906976744,0.85674548
0.864897467,0.879150066,0.888616891,0.835883171
0.84318456,0.859229748,0.869033048,0.812239221
0.82026538,0.836653386,0.845777234,0.78581363
0.796139928,0.812749004,0.82252142,0.76077886
0.773220748,0.7875166,0.799265606,0.727399166
0.743063932,0.760956175,0.773561812,0.707927677
0.712907117,0.731739708,0.747858017,0.677329624
0.685162847,0.705179283,0.718482252,0.645340751
0.655006031,0.674634794,0.687882497,0.616133519
0.624849216,0.644090305,0.662178703,0.586926287
0.5946924,0.614873838,0.629130967,0.554937413
0.563329312,0.584329349,0.599755202,0.52433936
0.531966224,0.553784861,0.570379437,0.493741307
0.503015682,0.521912351,0.539779682,0.463143255
0.469240048,0.490039841,0.507955936,0.431154381
0.436670688,0.459495352,0.476132191,0.400556328
0.406513872,0.426294821,0.445532436,0.369958275
0.376357057,0.395750332,0.41370869,0.340751043
0.346200241,0.366533865,0.384332925,0.311543811
0.317249698,0.335989376,0.35250918,0.282336579
0.289505428,0.30810093,0.323133415,0.254520167
0.261761158,0.278884462,0.29620563,0.233657858
0.234016888,0.249667995,0.266829865,0.203059805
0.206272618,0.224435591,0.241126071,0.178025035
0.183353438,0.197875166,0.215422277,0.154381085
0.159227986,0.173970784,0.189718482,0.132127955
0.138721351,0.151394422,0.165238678,0.111265647
0.115802171,0.128818061,0.143206854,0.093184979
0.097708082,0.107569721,0.122399021,0.076495132
0.080820265,0.090305445,0.104039168,0.061196106
0.065138721,0.07436919,0.084455324,0.0472879
0.049457177,0.057104914,0.068543452,0.034770515
0.041013269,0.045152722,0.052631579,0.025034771
0.030156815,0.034528552,0.040391677,0.016689847
0.016887817,0.023904382,0.030599755,0.009735744
0.010856454,0.014608234,0.023255814,0.005563282
0.00482509,0.007968127,0.013463892,0.001390821
0.002412545,0.005312085,0.006119951,0.001390821
0,0.001328021,0.00244798,0.001390821
0,0.001328021,0.00122399,0.005563282
0.002412545,0.003984064,0.00122399,0.012517385
0.007237636,0.005312085,0.003671971,0.019471488
0.013268999,0.013280212,0.006119951,0.029207232
0.02291918,0.02124834,0.012239902,0.038942976
0.033775633,0.030544489,0.020807834,0.051460362
0.044632087,0.04249668,0.030599755,0.065368567
0.056694813,0.055776892,0.041615667,0.082058414
0.075995175,0.069057105,0.05630355,0.098748261
0.090470446,0.08499336,0.069767442,0.11961057
0.108564536,0.103585657,0.085679315,0.140472879
0.127864897,0.123505976,0.104039168,0.161335188
0.149577805,0.144754316,0.122399021,0.184979138
0.17490953,0.166002656,0.144430845,0.21418637
0.195416164,0.19123506,0.166462668,0.235048679
0.221954162,0.215139442,0.189718482,0.26286509
0.246079614,0.241699867,0.215422277,0.289290682
0.275030157,0.270916335,0.238678091,0.319888734
0.301568154,0.294820717,0.268053856,0.347705146
0.33172497,0.325365206,0.29498164,0.378303199
0.360675513,0.353253652,0.323133415,0.407510431
0.389626055,0.38247012,0.35128519,0.438108484
0.422195416,0.413014608,0.380660955,0.468706537
0.451145959,0.447543161,0.41003672,0.49930459
0.482509047,0.475431607,0.440636475,0.529902643
0.512665862,0.507304117,0.47123623,0.559109875
0.545235223,0.536520584,0.501835985,0.591098748
0.577804584,0.567065073,0.53121175,0.621696801
0.605548854,0.596281541,0.564259486,0.649513213
0.638118215,0.632138114,0.593635251,0.680111266
0.665862485,0.656042497,0.625458996,0.709318498
0.694813028,0.685258964,0.652386781,0.734353268
0.723763571,0.717131474,0.681762546,0.763560501
0.751507841,0.743691899,0.711138311,0.788595271
0.776839566,0.767596282,0.738066095,0.813630042
0.802171291,0.792828685,0.76499388,0.835883171
0.826296743,0.818061089,0.791921665,0.859527121
0.850422195,0.843293493,0.815177479,0.878998609
0.872135103,0.864541833,0.839657283,0.898470097
0.890229192,0.88313413,0.858017136,0.919332406
0.909529554,0.901726428,0.88004896,0.930458971
0.92641737,0.920318725,0.898408813,0.949930459
0.942098914,0.934926959,0.915544676,0.961057024
0.956574186,0.949535193,0.932680539,0.972183588
0.967430639,0.961487384,0.947368421,0.980528512
0.97708082,0.972111554,0.958384333,0.987482615
0.987937274,0.982735724,0.966952264,0.993045897
0.992762364,0.988047809,0.977968176,0.995827538
0.996381182,0.992031873,0.984088127,1
1,0.997343958,0.990208078,0.998609179
1,0.998671979,0.991432069,0.994436718
0.998793727,1,0.993880049,0.993045897
0.99517491,0.998671979,0.993880049,0.986091794
0.989143546,0.994687915,0.988984088,0.980528512
0.981905911,0.986719788,0.985312118,0.969401947
0.974668275,0.981407703,0.977968176,0.961057024
0.963811821,0.970783533,0.970624235,0.944367177
0.951749095,0.958831341,0.959608323,0.933240612
0.938480097,0.94687915,0.948592411,0.917941586
0.92159228,0.930942895,0.935128519,0.895688456
0.901085645,0.912350598,0.920440636,0.878998609
0.882991556,0.896414343,0.902080783,0.85674548
0.861278649,0.875166003,0.88372093,0.83449235
0.840772014,0.855245684,0.860465116,0.80945758
0.817852835,0.831341301,0.840881273,0.784422809
0.793727382,0.807436919,0.818849449,0.759388039
0.768395657,0.782204515,0.796817625,0.731571627
0.744270205,0.758300133,0.773561812,0.706536857
0.715319662,0.729083665,0.745410037,0.678720445
0.685162847,0.701195219,0.718482252,0.646731572
0.657418577,0.671978752,0.690330477,0.616133519
0.627261761,0.641434263,0.662178703,0.586926287
0.599517491,0.613545817,0.631578947,0.556328234
0.568154403,0.584329349,0.603427173,0.525730181
0.535585042,0.551128818,0.571603427,0.493741307
0.505428227,0.520584329,0.542227662,0.464534075
0.475271411,0.488711819,0.510403917,0.429763561
0.443908323,0.458167331,0.479804162,0.400556328
0.412545235,0.428950863,0.447980416,0.369958275
0.378769602,0.398406375,0.417380661,0.340751043
0.352231604,0.367861886,0.388004896,0.312934631
0.323281062,0.337317397,0.357405141,0.282336579
0.294330519,0.309428951,0.328029376,0.255910987
0.267792521,0.281540505,0.299877601,0.229485396
0.240048251,0.250996016,0.271725826,0.204450626
0.213510253,0.227091633,0.244798042,0.180806676
0.189384801,0.20185923,0.219094247,0.157162726
0.165259349,0.176626826,0.193390453,0.136300417
0.142340169,0.154050465,0.171358629,0.115438108
0.123039807,0.131474104,0.146878825,0.09596662
0.102533172,0.111553785,0.127294982,0.079276773
0.084439083,0.092961487,0.105263158,0.062586926
0.068757539,0.075697211,0.089351285,0.04867872
0.05548854,0.061088977,0.072215422,0.036161335
0.039806996,0.046480744,0.05752754,0.030598053
0.02774427,0.034528552,0.044063647,0.018080668
0.018094089,0.023904382,0.031823745,0.009735744
0.010856454,0.017264276,0.022031824,0.005563282
0.006031363,0.007968127,0.012239902,0.002781641
0.001206273,0.005312085,0.008567931,0.002781641
0.001206273,0.002656042,0.003671971,0.004172462
0.001206273,0,0.00244798,0.006954103
0.002412545,0,0.00244798,0.012517385
0.007237636,0.006640106,0.003671971,0.019471488
0.015681544,0.013280212,0.007343941,0.029207232
0.024125452,0.02124834,0.013463892,0.037552156
0.034981906,0.033200531,0.022031824,0.052851182
0.045838359,0.04249668,0.031823745,0.066759388
0.061519903,0.055776892,0.042839657,0.082058414
0.07358263,0.070385126,0.055079559,0.098748261
0.091676719,0.087649402,0.069767442,0.11961057
0.110977081,0.1062417,0.088127295,0.1418637
0.130277443,0.126162019,0.106487148,0.162726008
0.15199035,0.146082337,0.126070991,0.187760779
0.176115802,0.16998672,0.146878825,0.211404729
0.200241255,0.193891102,0.168910649,0.23783032
0.225572979,0.219123506,0.195838433,0.264255911
0.25331725,0.245683931,0.217870257,0.293463143
0.279855247,0.273572377,0.246022032,0.321279555
0.310012063,0.301460823,0.272949816,0.350486787
0.337756333,0.330677291,0.301101591,0.38108484
0.367913148,0.358565737,0.330477356,0.410292072
0.395657419,0.389110226,0.359853121,0.442280946
0.428226779,0.419654714,0.389228886,0.471488178
0.458383595,0.450199203,0.419828641,0.502086231
0.48854041,0.480743692,0.449204406,0.534075104
0.524728589,0.512616202,0.481028152,0.563282337
0.550060314,0.540504648,0.511627907,0.59527121
0.580217129,0.571049137,0.542227662,0.624478442
0.61278649,0.601593625,0.574051408,0.655076495
0.641737033,0.632138114,0.604651163,0.682892907
0.670687575,0.661354582,0.632802938,0.710709318
0.700844391,0.690571049,0.663402693,0.73713491
0.727382388,0.718459495,0.694002448,0.763560501
0.752714113,0.750332005,0.719706242,0.791376912
0.779252111,0.772908367,0.747858017,0.812239221
0.804583836,0.796812749,0.773561812,0.835883171
0.828709288,0.820717131,0.799265606,0.859527121
0.850422195,0.841965471,0.82374541,0.878998609
0.87092883,0.864541833,0.843329253,0.898470097
0.891435464,0.885790173,0.866585067,0.913769124
0.909529554,0.901726428,0.88372093,0.930458971
0.927623643,0.920318725,0.903304774,0.945757997
0.942098914,0.93625498,0.924112607,0.955493741
0.955367913,0.950863214,0.935128519,0.969401947
0.967430639,0.964143426,0.949816401,0.977746871
0.97708082,0.976095618,0.962056304,0.984700974
0.985524729,0.981407703,0.971848225,0.990264256
0.992762364,0.990703851,0.981640147,0.994436718
0.99517491,0.993359894,0.988984088,0.997218359
0.997587455,0.998671979,0.993880049,0.995827538
0.996381182,0.998671979,0.995104039,0.993045897
0.997587455,0.998671979,0.99877601,0.988873435
0.993968637,0.996015936,0.993880049,0.984700974
0.989143546,0.993359894,0.995104039,0.97635605
0.983112183,0.988047809,0.988984088,0.968011127
0.973462002,0.980079681,0.981640147,0.956884562
0.963811821,0.972111554,0.975520196,0.942976356
0.951749095,0.961487384,0.965728274,0.933240612
0.937273824,0.948207171,0.953488372,0.915159944
0.919179735,0.932270916,0.93880049,0.897079277
0.902291918,0.917662683,0.925336597,0.878998609
0.882991556,0.897742364,0.905752754,0.8581363
0.862484922,0.877822045,0.888616891,0.835883171
0.841978287,0.857901726,0.867809058,0.810848401
0.817852835,0.833997344,0.844553244,0.78581363
0.793727382,0.810092961,0.8249694,0.76077886
0.770808203,0.788844622,0.798041616,0.734353268
0.743063932,0.760956175,0.773561812,0.705146036
0.712907117,0.730411687,0.752753978,0.677329624
0.683956574,0.703851262,0.718482252,0.648122392
0.655006031,0.674634794,0.690330477,0.616133519
0.622436671,0.642762284,0.659730722,0.586926287
0.593486128,0.613545817,0.630354957,0.554937413
0.56212304,0.583001328,0.599755202,0.52294854
0.530759952,0.552456839,0.569155447,0.493741307
0.501809409,0.521912351,0.538555692,0.461752434
0.470446321,0.490039841,0.507955936,0.432545202
0.436670688,0.456839309,0.478580171,0.400556328
0.406513872,0.426294821,0.446756426,0.372739917
0.375150784,0.394422311,0.41370869,0.340751043
0.346200241,0.365205843,0.383108935,0.31015299
0.317249698,0.334661355,0.35373317,0.282336579
0.288299156,0.30810093,0.326805386,0.255910987
0.260554885,0.278884462,0.29620563,0.226703755
0.234016888,0.249667995,0.268053856,0.201668985
0.208685163,0.224435591,0.241126071,0.179415855
0.182147165,0.197875166,0.215422277,0.154381085
0.159227986,0.172642762,0.189718482,0.132127955
0.138721351,0.150066401,0.165238678,0.112656467
0.115802171,0.128818061,0.143206854,0.091794159
0.097708082,0.108897742,0.121175031,0.076495132
0.079613993,0.090305445,0.102815177,0.061196106
0.063932449,0.073041169,0.084455324,0.045897079
0.05066345,0.058432935,0.068543452,0.036161335
