blank1,blank2,active1,active2
0.18,0.19,0.21,0.16
0.17,0.18,0.18,0.17
0.17,0.18,0.16,0.19
0.19,0.19,0.16,0.24
0.23,0.22,0.19,0.29
0.29,0.26,0.2,0.35
0.36,0.32,0.26,0.43
0.44,0.4,0.33,0.53
0.53,0.48,0.4,0.63
0.65,0.57,0.49,0.75
0.77,0.69,0.61,0.87
0.92,0.8,0.74,1
1.09,0.95,0.87,1.17
1.25,1.09,1.02,1.33
1.42,1.25,1.18,1.49
1.61,1.43,1.35,1.67
1.81,1.61,1.53,1.87
2.03,1.8,1.73,2.05
2.25,2.02,1.94,2.26
2.49,2.2,2.16,2.46
2.71,2.42,2.38,2.67
2.96,2.63,2.62,2.9
3.2,2.85,2.87,3.11
3.44,3.06,3.09,3.35
3.7,3.33,3.34,3.54
3.95,3.56,3.57,3.78
4.2,3.76,3.84,4.01
4.47,3.99,4.08,4.22
4.71,4.22,4.34,4.46
4.98,4.45,4.59,4.65
5.22,4.68,4.83,4.86
5.48,4.91,5.09,5.08
5.73,5.13,5.32,5.29
5.96,5.35,5.58,5.47
6.19,5.56,5.81,5.65
6.4,5.76,6.02,5.85
6.63,5.95,6.26,6.01
6.84,6.16,6.48,6.19
7.03,6.33,6.68,6.34
7.21,6.5,6.88,6.47
7.38,6.67,7.05,6.62
7.55,6.84,7.24,6.73
7.72,6.97,7.4,6.85
7.85,7.09,7.55,6.96
7.96,7.19,7.69,7.02
8.08,7.3,7.81,7.13
8.18,7.41,7.93,7.18
8.26,7.49,8.03,7.25
8.33,7.55,8.12,7.29
8.41,7.6,8.19,7.29
8.41,7.64,8.23,7.32
8.43,7.67,8.28,7.3
8.46,7.69,8.29,7.31
8.43,7.68,8.33,7.26
8.41,7.69,8.3,7.24
8.37,7.65,8.29,7.17
8.31,7.6,8.25,7.11
8.24,7.54,8.2,7.04
8.15,7.48,8.13,6.94
8.06,7.4,8.04,6.85
7.93,7.3,7.97,6.74
7.8,7.18,7.84,6.62
7.65,7.06,7.71,6.47
7.5,6.92,7.56,6.32
7.33,6.78,7.42,6.16
7.15,6.63,7.25,5.99
6.97,6.49,7.07,5.82
6.76,6.28,6.89,5.63
6.55,6.1,6.69,5.44
6.32,5.88,6.49,5.24
6.08,5.65,6.27,5.03
5.85,5.46,6.03,4.81
5.6,5.23,5.81,4.6
5.34,5,5.57,4.39
5.08,4.79,5.32,4.15
4.83,4.56,5.06,3.93
4.58,4.33,4.81,3.71
4.34,4.1,4.57,3.47
4.07,3.86,4.31,3.27
3.82,3.62,4.06,3.05
3.54,3.39,3.8,2.83
3.29,3.15,3.55,2.61
3.05,2.94,3.31,2.39
2.81,2.69,3.05,2.19
2.57,2.48,2.81,1.99
2.33,2.26,2.58,1.8
2.13,2.05,2.35,1.62
1.91,1.86,2.13,1.43
1.69,1.66,1.93,1.27
1.5,1.47,1.72,1.13
1.31,1.3,1.52,0.98
1.14,1.14,1.34,0.84
0.98,0.99,1.16,0.71
0.84,0.85,1,0.59
0.72,0.72,0.86,0.5
0.59,0.6,0.73,0.41
0.49,0.5,0.61,0.34
0.4,0.41,0.5,0.28
0.31,0.35,0.41,0.23
0.26,0.28,0.33,0.19
0.21,0.22,0.26,0.19
0.19,0.19,0.22,0.17
0.19,0.18,0.19,0.2
0.18,0.17,0.18,0.22
0.19,0.19,0.17,0.24
0.22,0.21,0.18,0.29
0.29,0.26,0.22,0.38
0.35,0.31,0.26,0.47
0.44,0.38,0.33,0.53
0.54,0.47,0.42,0.64
0.64,0.57,0.51,0.75
0.77,0.69,0.61,0.88
0.92,0.81,0.73,1.02
1.07,0.94,0.87,1.17
1.23,1.09,1.01,1.33
1.4,1.25,1.17,1.5
1.6,1.41,1.33,1.67
1.79,1.6,1.51,1.85
2,1.78,1.7,2.05
2.21,1.98,1.92,2.24
2.42,2.17,2.12,2.45
2.67,2.36,2.34,2.66
2.9,2.6,2.57,2.87
3.15,2.82,2.79,3.08
3.39,3.04,3.03,3.31
3.64,3.27,3.26,3.53
3.9,3.5,3.53,3.75
4.15,3.73,3.76,3.98
4.41,3.97,4.02,4.2
4.68,4.2,4.28,4.42
4.92,4.42,4.52,4.64
5.18,4.65,4.78,4.84
5.42,4.88,5.03,5.07
5.66,5.08,5.26,5.26
5.91,5.32,5.51,5.45
6.14,5.54,5.74,5.65
6.36,5.74,5.97,5.83
6.58,5.93,6.2,6
6.8,6.14,6.42,6.18
7,6.32,6.63,6.35
7.18,6.48,6.82,6.47
7.36,6.64,7.02,6.62
7.52,6.8,7.18,6.75
7.69,6.96,7.35,6.88
7.82,7.08,7.5,6.97
7.97,7.21,7.65,7.06
8.08,7.31,7.77,7.14
8.22,7.42,7.89,7.21
8.26,7.49,8,7.26
8.34,7.55,8.08,7.31
8.39,7.61,8.16,7.33
8.42,7.64,8.19,7.33
8.45,7.68,8.24,7.33
8.45,7.67,8.28,7.32
8.44,7.65,8.28,7.29
8.4,7.66,8.28,7.25
8.37,7.65,8.27,7.19
8.31,7.59,8.2,7.13
8.24,7.55,8.15,7.04
8.15,7.47,8.08,6.96
8.05,7.38,8,6.85
7.94,7.29,7.91,6.74
7.8,7.16,7.81,6.61
7.66,7.08,7.67,6.47
7.49,6.9,7.53,6.31
7.31,6.77,7.37,6.16
7.13,6.59,7.2,6
6.96,6.43,7.02,5.81
6.76,6.23,6.85,5.62
6.56,6.06,6.66,5.44
6.34,5.87,6.47,5.24
6.1,5.67,6.26,5.03
5.87,5.44,6.02,4.82
5.62,5.22,5.79,4.6
5.38,4.97,5.56,4.37
5.14,4.79,5.33,4.17
4.88,4.55,5.08,3.93
4.62,4.32,4.84,3.73
4.36,4.08,4.59,3.46
4.11,3.84,4.33,3.25
3.86,3.62,4.08,3.04
3.59,3.4,3.84,2.83
3.34,3.16,3.57,2.62
3.09,2.93,3.32,2.41
2.85,2.7,3.09,2.2
2.63,2.49,2.84,2
2.38,2.29,2.62,1.82
2.15,2.08,2.38,1.63
1.94,1.87,2.17,1.46
1.74,1.68,1.94,1.29
1.55,1.5,1.74,1.14
1.35,1.32,1.55,0.98
1.18,1.16,1.36,0.85
1.02,1.01,1.19,0.73
0.87,0.87,1.03,0.61
0.73,0.73,0.87,0.5
0.61,0.61,0.74,0.43
0.49,0.51,0.62,0.35
0.41,0.43,0.51,0.28
0.32,0.35,0.41,0.24
0.27,0.28,0.34,0.19
0.22,0.23,0.26,0.18
0.19,0.2,0.22,0.16
0.17,0.18,0.19,0.19
0.17,0.17,0.17,0.21
0.2,0.19,0.17,0.24
0.23,0.22,0.18,0.3
0.29,0.26,0.23,0.37
0.36,0.32,0.26,0.44
0.45,0.39,0.33,0.53
0.54,0.47,0.41,0.62
0.65,0.58,0.52,0.75
0.77,0.68,0.61,0.88
0.95,0.8,0.73,1.02
1.1,0.94,0.87,1.17
1.24,1.09,1.03,1.33
1.42,1.25,1.19,1.5
1.62,1.4,1.37,1.69
1.81,1.61,1.54,1.87
2.04,1.79,1.74,2.03
2.25,1.99,1.95,2.28
2.48,2.2,2.16,2.47
2.71,2.41,2.42,2.68
2.94,2.63,2.62,2.89
3.21,2.85,2.86,3.11
3.45,3.07,3.1,3.35
3.69,3.3,3.34,3.56
3.95,3.53,3.59,3.78
4.2,3.76,3.84,4.01
4.46,4,4.09,4.21
4.73,4.22,4.34,4.44
4.98,4.46,4.6,4.65
5.24,4.68,4.86,4.88
5.47,4.9,5.11,5.08
5.72,5.12,5.33,5.28
5.96,5.35,5.59,5.48
6.19,5.55,5.84,5.67
6.41,5.76,6.03,5.86
6.63,5.95,6.26,6.01
6.84,6.16,6.52,6.2
7.04,6.34,6.69,6.35
7.21,6.5,6.9,6.48
7.39,6.67,7.06,6.63
7.55,6.8,7.25,6.73
7.7,6.95,7.4,6.86
7.85,7.08,7.55,6.95
7.98,7.23,7.7,7.08
8.08,7.31,7.8,7.13
8.17,7.4,7.95,7.18
8.26,7.47,8.03,7.24
8.33,7.55,8.12,7.29
8.39,7.58,8.19,7.3
8.45,7.63,8.24,7.32
8.44,7.65,8.28,7.31
8.44,7.68,8.3,7.32
8.44,7.69,8.32,7.26
8.42,7.67,8.31,7.25
8.37,7.63,8.28,7.17
8.3,7.59,8.25,7.12
8.24,7.54,8.18,7.04
8.16,7.49,8.14,6.94
8.05,7.41,8.03,6.84
7.94,7.31,7.94,6.73
7.8,7.18,7.84,6.6
7.66,7.06,7.71,6.48
7.51,6.93,7.57,6.32
7.34,6.78,7.42,6.17
7.16,6.63,7.26,6
6.97,6.46,7.07,5.81
6.77,6.28,6.88,5.63
6.58,6.09,6.69,5.39
6.33,5.89,6.48,5.25
6.08,5.67,6.27,5.03
5.85,5.47,6.03,4.8
5.6,5.24,5.78,4.59
5.35,5.01,5.57,4.38
5.1,4.79,5.3,4.15
4.84,4.56,5.06,3.93
4.58,4.33,4.82,3.71
4.34,4.09,4.57,3.49
4.06,3.85,4.31,3.26
3.79,3.62,4.05,3.04
3.54,3.37,3.8,2.82
3.29,3.14,3.54,2.61
3.04,2.92,3.3,2.4
2.8,2.69,3.04,2.19
2.57,2.48,2.8,1.99
2.34,2.26,2.58,1.84
2.11,2.04,2.34,1.62
1.88,1.85,2.13,1.44
1.69,1.65,1.92,1.27
1.49,1.47,1.71,1.11
1.32,1.3,1.51,0.96
1.13,1.13,1.33,0.83
0.98,0.97,1.16,0.71
0.84,0.84,1.01,0.6
0.71,0.72,0.85,0.5
0.58,0.59,0.72,0.41
0.51,0.5,0.59,0.34
0.42,0.42,0.49,0.28
0.31,0.34,0.41,0.23
0.26,0.27,0.35,0.2
0.21,0.22,0.27,0.17
0.19,0.2,0.21,0.17
0.17,0.17,0.18,0.17
0.17,0.17,0.17,0.2
0.19,0.19,0.17,0.25
0.23,0.2,0.19,0.3
0.28,0.26,0.21,0.37
0.36,0.32,0.26,0.44
0.45,0.39,0.33,0.53
0.54,0.48,0.41,0.63
0.64,0.58,0.5,0.75
0.8,0.68,0.62,0.87
0.92,0.8,0.73,1.02
1.07,0.94,0.86,1.17
1.23,1.09,1.01,1.32
1.41,1.25,1.16,1.49
1.62,1.41,1.34,1.7
1.79,1.6,1.52,1.85
2.01,1.78,1.71,2.05
2.21,1.98,1.92,2.24
2.45,2.2,2.11,2.46
2.67,2.38,2.35,2.66
2.92,2.61,2.57,2.88
3.16,2.82,2.8,3.09
3.4,3.04,3.03,3.31
3.67,3.27,3.27,3.53
3.91,3.53,3.51,3.75
4.17,3.74,3.76,3.97
4.42,3.98,4.01,4.18
4.69,4.2,4.26,4.41
4.96,4.43,4.5,4.63
5.19,4.65,4.77,4.83
5.46,4.92,5.01,5.05
5.69,5.1,5.27,5.26
5.93,5.32,5.49,5.44
6.17,5.56,5.73,5.65
6.4,5.76,5.97,5.83
6.61,5.94,6.19,6.01
6.82,6.13,6.41,6.17
7.02,6.32,6.63,6.34
7.22,6.51,6.82,6.48
7.4,6.67,7.02,6.62
7.55,6.81,7.17,6.77
7.71,6.95,7.35,6.85
7.85,7.09,7.5,6.99
7.98,7.2,7.64,7.07
8.1,7.31,7.78,7.15
8.19,7.4,7.9,7.21
8.27,7.48,7.99,7.26
8.36,7.56,8.06,7.3
8.4,7.6,8.15,7.32
8.43,7.63,8.2,7.35
8.46,7.67,8.25,7.34
8.46,7.68,8.26,7.31
8.45,7.69,8.28,7.3
8.42,7.68,8.28,7.25
8.37,7.65,8.24,7.21
8.31,7.59,8.21,7.13
8.25,7.55,8.15,7.07
8.16,7.47,8.09,6.95
8.06,7.38,8,6.87
7.95,7.29,7.91,6.76
7.81,7.17,7.8,6.6
7.64,7.03,7.68,6.48
7.49,6.91,7.53,6.32
7.31,6.75,7.38,6.16
7.14,6.6,7.19,5.98
6.95,6.42,7.03,5.8
6.75,6.24,6.85,5.62
6.54,6.05,6.67,5.42
6.34,5.87,6.48,5.24
6.1,5.65,6.25,5.04
5.85,5.44,6.03,4.81
5.62,5.22,5.8,4.59
5.37,4.99,5.57,4.38
5.14,4.78,5.32,4.16
4.88,4.56,5.09,3.94
4.61,4.31,4.83,3.71
4.36,4.08,4.59,3.5
4.11,3.84,4.33,3.25
3.85,3.61,4.08,3.04
3.59,3.39,3.82,2.82
3.31,3.16,3.57,2.61
3.09,2.93,3.33,2.41
2.85,2.7,3.08,2.19
2.61,2.49,2.84,2
2.39,2.28,2.61,1.81
2.16,2.05,2.38,1.63
1.94,1.87,2.16,1.46
1.74,1.68,1.95,1.29
1.54,1.49,1.74,1.14
1.35,1.32,1.56,0.99
1.19,1.15,1.36,0.85
1.02,1,1.2,0.73
0.87,0.86,1.02,0.61
0.74,0.73,0.89,0.51
0.63,0.62,0.75,0.42
0.5,0.51,0.63,0.38
0.4,0.42,0.52,0.29
0.32,0.34,0.42,0.23
0.26,0.29,0.34,0.2
0.22,0.22,0.26,0.18
0.18,0.2,0.23,0.18
0.18,0.18,0.19,0.19
0.18,0.16,0.18,0.21
0.19,0.16,0.18,0.25
0.23,0.21,0.19,0.3
0.3,0.26,0.22,0.37
0.37,0.32,0.27,0.43
0.46,0.41,0.34,0.54
0.55,0.48,0.42,0.64
0.68,0.58,0.51,0.75
0.78,0.69,0.61,0.87
0.93,0.82,0.73,1.02
1.09,0.96,0.88,1.18
1.25,1.11,1.03,1.33
1.43,1.26,1.19,1.51
1.63,1.44,1.36,1.68
1.83,1.62,1.54,1.87
2.04,1.81,1.76,2.06
2.27,2.01,1.94,2.27
2.49,2.22,2.17,2.47
2.74,2.43,2.39,2.68
2.97,2.65,2.62,2.9
3.22,2.86,2.86,3.11
3.45,3.09,3.1,3.34
3.72,3.32,3.34,3.55
3.97,3.55,3.59,3.77
4.22,3.78,3.83,4
4.52,4.02,4.09,4.21
4.73,4.23,4.34,4.44
4.98,4.46,4.59,4.65
5.25,4.69,4.85,4.87
5.49,4.92,5.1,5.07
5.73,5.14,5.33,5.27
5.98,5.36,5.58,5.46
6.2,5.57,5.83,5.65
6.41,5.81,6.04,5.85
6.63,5.98,6.27,6
6.84,6.16,6.48,6.17
7.04,6.34,6.69,6.34
7.22,6.5,6.89,6.48
7.39,6.67,7.05,6.62
7.56,6.83,7.24,6.73
7.71,6.95,7.38,6.85
7.86,7.09,7.54,6.96
7.98,7.21,7.71,7.03
8.09,7.32,7.8,7.13
8.19,7.42,7.92,7.19
8.27,7.51,8.02,7.24
8.34,7.55,8.1,7.28
8.4,7.62,8.18,7.31
8.42,7.64,8.24,7.33
8.44,7.68,8.28,7.32
8.43,7.68,8.29,7.3
8.44,7.68,8.32,7.27
8.41,7.66,8.28,7.24
8.37,7.64,8.29,7.18
8.32,7.6,8.24,7.12
8.24,7.54,8.18,7.04
8.16,7.48,8.13,6.94
8.06,7.4,8.05,6.87
7.94,7.3,7.95,6.74
7.79,7.18,7.83,6.61
7.65,7.07,7.72,6.48
7.49,6.92,7.56,6.33
7.32,6.77,7.42,6.17
7.15,6.62,7.25,5.99
6.95,6.44,7.06,5.81
6.75,6.26,6.9,5.63
6.56,6.1,6.68,5.44
6.33,5.89,6.48,5.23
6.08,5.66,6.31,5.03
5.84,5.46,6.03,4.82
5.6,5.24,5.8,4.59
5.33,5,5.55,4.38
5.09,4.78,5.31,4.15
4.83,4.55,5.06,3.92
4.57,4.32,4.81,3.71
4.33,4.09,4.56,3.48
4.07,3.85,4.31,3.27
3.79,3.6,4.07,3.04
3.54,3.37,3.81,2.84
3.28,3.13,3.54,2.61
3.04,2.91,3.29,2.39
2.8,2.68,3.05,2.19
2.56,2.48,2.83,2
2.33,2.26,2.58,1.79
2.11,2.04,2.35,1.61
1.9,1.85,2.13,1.45
1.68,1.65,1.92,1.27
1.49,1.46,1.71,1.11
1.32,1.29,1.51,0.97
1.13,1.13,1.33,0.82
0.98,0.98,1.15,0.71
0.83,0.84,1,0.6
0.7,0.71,0.85,0.49
0.59,0.6,0.72,0.42
